caller;called;method;returnToNode
application.MainGui;tas.adaptation.TASStart;1.new;
tas.adaptation.TASStart;tas.adaptation.TASStart;2.initializeTAS;
tas.adaptation.TASStart;service.registry.ServiceRegistry;3.new;application.MainGui
application.MainGui;application.view.controller.ApplicationController;4.getController;
application.view.controller.ApplicationController;tas.adaptation.TASStart;5.executeWorkflow;
tas.adaptation.TASStart;sercive.composite.CompositeServiceClient;6.invokeCompositeService;
sercive.composite.CompositeServiceClient;service.client.AbstractServiceClient;7.sendRequest;
service.client.AbstractServiceClient;service.messagingservice.MessagingServiceProvider;8.sendMessage;
service.messagingservice.MessagingServiceProvider;service.messagingservice.MessagingService;9.sendMessage;
service.messagingservice.MessagingService;service.auxiliary.AbstractService;10.onMessage;
service.auxiliary.AbstractService;service.composite.CompositeService;11.invokeOperation;
service.composite.CompositeService;service.composite.CompositeService;12.invokeCompositeService;
service.composite.CompositeService;service.adaptation.probes.WorkflowProbe;13.notifyWorkflowStarted;
service.adaptation.probes.WorkflowProbe;tas.services.assistance.AssistanceServiceCostProbe;14.workflowStarted;service.composite.CompositeService
service.composite.CompositeService;service.workflow.WorkflowEngine;15.executeWorkflow;
service.workflow.WorkflowEngine;taskgraph.TaskGraphInterpreter;16.interpret;
taskgraph.TaskGraphInterpreter;service.composite.CompositeService;17.invokeServiceOperation;
service.composite.CompositeService;service.composite.CompositeService;18.lookupService;
service.composite.CompositeService;service.adaptation.probes.WorkflowProbe;19.1.notifyServiceNotFound;
service.adaptation.probes.WorkflowProbe;tas.adaptation.simple.MyProbe;20.1.serviceNotFound;
tas.adaptation.simple.MyProbe;tas.adaptation.MyAdaptationEngine;21.1.handleServiceNotFound;
tas.adaptation.MyAdaptationEngine;service.adaptation.effectors.WorkflowEffector;22.1.refreshAllServices;
service.adaptation.effectors.WorkflowEffector;service.adaptation.effectors.CacheEffector;23.1.getAllServices;
service.adaptation.effectors.CacheEffector;service.composite.CompositeService.SDCache;24.1.remove;service.adaptation.effectors.CacheEffector
service.adaptation.effectors.CacheEffector;service.composite.CompositeService;25.1.lookupService;
service.composite.CompositeService;service.auxiliary.TimeOutError;26.1.new;service.composite.CompositeService
service.composite.CompositeService;service.workflow.AbstractQoSRequirement;19.2.get;service.composite.CompositeService
service.composite.CompositeService;service.adaptation.probes.WorkflowProbe;20.2.notifyServiceOperationInvoked;
service.adaptation.probes.WorkflowProbe;tas.services.assistance.AssistanceServiceCostProbe;21.2.serviceOperationInvoked;service.composite.CompositeService
service.composite.CompositeService;service.auxiliary.AbstractService;22.2.sendRequest;
service.auxiliary.AbstractService;service.messagingservice.MessagingServiceProvider;23.2.sendMessage;
service.messagingservice.MessagingServiceProvider;service.messagingservice.MessagingService;24.2.sendMessage;
service.messagingservice.MessagingService;service.auxiliary.AbstractService;25.2.onMessage;
service.auxiliary.AbstractService;service.atomic.AtomicService;26.2.invokeOperation;service.composite.CompositeService
service.composite.CompositeService;service.adaptation.probes.WorkflowProbe;27.1.notifyServiceOperationTimeout;
service.adaptation.probes.WorkflowProbe;tas.adaptation.simple.MyProbe;28.1.serviceOperationTimeout;
tas.adaptation.simple.MyProbe;tas.adaptation.MyAdaptationEngine;29.1.handleServiceFailure;
tas.adaptation.MyAdaptationEngine;service.adaptation.effectors.WorkflowEffector;30.1.removeService;
service.adaptation.effectors.WorkflowEffector;service.adaptation.effectors.CacheEffector;31.1.removeService;
service.adaptation.effectors.CacheEffector;service.composite.CompositeService.SDCache;32.1.remove;service.composite.CompositeService
service.composite.CompositeService;service.adaptation.probes.CostProbe;27.2.notifyCostSubscribers;
service.adaptation.probes.CostProbe;tas.services.assistance.AssistanceServiceCostProbe;28.2.serviceCost;service.composite.CompositeService
tas.adaptation.TASStart;[END];33.end;